plot_id,date,soil_mean,soil_median,soil_sd,soil_min,soil_max,soil_quantile_95,soil_quantile_5,surf_mean,surf_median,surf_sd,surf_min,surf_max,surf_quantile_95,surf_quantile_5,air_mean,air_median,air_sd,air_min,air_max,air_quantile_95,air_quantile_5,corr_soil_air,max_roll_diff_soil,max_roll_diff_surf,max_roll_diff_air,moist_mean,moist_median,moist_sd,moist_min,moist_max,moist_quantile_95,moist_quantile_5,soil_air_diff,soil_air_max_diff
Test_plot_1,2023-09-18,6.97171052631579,6.6875,1.6661316622180447,5.125,9.875,9.7875,5.1875,6.438157894736842,3.375,5.163335273349659,2.125,19.875,16.6625,2.1875,5.505921052631579,3,4.302631648508103,1.3125,14.875,13.825,1.625,0.5457754207838618,0.1875,3.125,4.0625,955.2526315789473,959,19.173323900255234,918,981,979,919.6999999999999,-1.465789473684211,5
Test_plot_1,2023-09-19,4.916666666666667,4.96875,0.6775091441086808,3.75,6.625,6.265625,3.875,1.2024739583333333,0.875,1.2296951106287146,-0.625,3.6875,3.40625,-0.34375,0.02734375,0.25,1.7408079193785433,-3.25,3,2.625,-3,0.7064730369381033,0.125,0.5,0.75,965.1145833333334,965,8.065351223032831,950,977,977,951.75,-4.889322916666667,-3.625
Test_plot_1,2023-09-20,3.2024739583333335,3.1875,0.16566869872050546,3,3.75,3.53125,3,0.244140625,0.5,0.6788679458563235,-0.75,1.0625,1,-0.75,-1.650390625,-1.375,1.360043600700331,-3.5,0.625,0.375,-3.375,-0.4094486623116122,0.125,0.125,0.3125,972.59375,972.5,4.426185538480355,967,979,978,967,-4.852864583333334,-3.125
Test_plot_1,2023-09-21,2.6920572916666665,2.625,0.13760306892599045,2.5,3.0625,3,2.546875,0.14322916666666666,0.46875,0.6138422903776998,-1,0.875,0.8125,-0.9375,-0.66796875,-0.5,1.1346194187166672,-2.25,1.375,1.078125,-2.25,-0.6442402281781248,0.0625,0.1875,0.375,965.8229166666666,968,5.082466851662253,956,973,973,958.75,-3.3600260416666665,-1.6875
Test_plot_1,2023-09-22,3.033203125,2.90625,0.45531881588113043,2.5,3.6875,3.625,2.5,3.009765625,3.4375,1.430297405498011,0.875,5.125,4.953125,1,3.7766927083333335,3.8125,1.3619217988404466,0.125,6,5.703125,1.46875,0.47551216375049615,0.0625,0.25,1.0625,969.8958333333334,950,66.53301185627076,903,1272,1102.5,910.5,0.7434895833333335,2.3125
Test_plot_1,2023-09-23,4.763020833333333,4.625,0.7827770164332499,3.75,5.9375,5.890625,3.875,5.190755208333333,4.625,1.4649796172370304,3,8.875,8.203125,3.671875,5.100911458333333,4.65625,1.2701458743301302,2.4375,7.875,7.28125,3.34375,0.13725047235346569,0.0625,1,1.0625,974.84375,964,23.351469298976728,957,1064,1026.5,958,0.337890625,1.9375
Test_plot_1,2023-09-24,6.625651041666667,7,2.10361716188768,4.25,9.875,9.765625,4.25,7.313151041666667,5.65625,4.667765430177142,2.9375,17,16.78125,3.125,5.793619791666667,4.6875,3.350030928172071,2.5,12.6875,11.90625,2.625,0.5867249011463972,0.125,3.125,3.125,986.90625,984,18.42714138095446,961,1046,1025.25,965,-0.83203125,2.8125
Test_plot_1,2023-09-25,7.252604166666667,6.90625,1.1100955931257421,5.75,9.25,9.125,5.859375,7.111979166666667,5.5,2.950313830690119,4.25,15.5,13.734375,4.625,6.1796875,5.25,1.9538939275874618,4.0625,12.625,10.546875,4.375,0.4303577435497341,0.1875,3.5,3,1068.1354166666667,1035,92.61176687675864,1005,1367,1349.25,1007.75,-1.072916666666667,3.375
Test_plot_1,2023-09-26,6.645833333333333,6.625,0.3496552186509227,6.125,7.1875,7.125,6.125,6.815104166666667,6.875,0.8004889884402128,5.375,8.6875,8.140625,5.671875,7.5703125,7.3125,0.7673031420775659,6.5625,10.75,9.125,6.625,0.5528096054073706,0.0625,0.5,1.9375,1043.53125,1032,51.15383468159136,989,1238,1160,993.75,0.924479166666667,3.5625
Test_plot_1,2023-09-27,6.973307291666667,6.875,0.41603793709728765,6.125,7.625,7.625,6.234375,7.19921875,7.34375,1.4176203333542707,4.375,9.75,9.25,4.71875,8.044921875,8.375,1.4671205441955537,5.125,10.875,10.140625,5.71875,0.3037827282781745,0.125,1.125,1.375,992.4583333333334,984,23.61485556823865,969,1071,1043.25,970,1.071614583333333,3.25
